"Year","Sex","Age group","Ethnicity","ACSL (in months)"
"2009","Female","All","Asian","16.5"
"2009","Male","All","Asian","19.6"
"2009","Not known","All","Asian","3.3"
"2009","Female","All","Black","14.2"
"2009","Male","All","Black","20.9"
"2009","Not known","All","Black","1.9"
"2009","Female","All","Mixed","7.9"
"2009","Male","All","Mixed","16.9"
"2009","Not known","All","Mixed","4.7"
"2009","Female","All","Other inc Chinese","12.1"
"2009","Male","All","Other inc Chinese","17.3"
"2009","Not known","All","Other inc Chinese","1.2"
"2009","Female","All","White","9.5"
"2009","Male","All","White","15.1"
"2009","Not known","All","White","2.3"
"2010","Female","All","Asian","15.4"
"2010","Male","All","Asian","20.0"
"2010","Not known","All","Asian","0.9"
"2010","Female","All","Black","14.2"
"2010","Male","All","Black","22.1"
"2010","Not known","All","Black","1.5"
"2010","Female","All","Mixed","11.0"
"2010","Male","All","Mixed","18.0"
"2010","Not known","All","Mixed","0.0"
"2010","Female","All","Other inc Chinese","13.1"
"2010","Male","All","Other inc Chinese","17.0"
"2010","Not known","All","Other inc Chinese","2.8"
"2010","Female","All","White","9.4"
"2010","Male","All","White","15.5"
"2010","Not known","All","White","1.5"
"2011","Female","All","Asian","17.7"
"2011","Male","All","Asian","22.1"
"2011","Not known","All","Asian","5.7"
"2011","Female","All","Black","16.2"
"2011","Male","All","Black","23.4"
"2011","Not known","All","Black","0.9"
"2011","Female","All","Mixed","14.1"
"2011","Male","All","Mixed","18.2"
"2011","Not known","All","Mixed","4.0"
"2011","Female","All","Other inc Chinese","11.5"
"2011","Male","All","Other inc Chinese","17.5"
"2011","Not known","All","Other inc Chinese","0.0"
"2011","Female","All","White","10.4"
"2011","Male","All","White","16.1"
"2011","Not known","All","White","2.4"
"2012","Female","All","Asian","14.7"
"2012","Male","All","Asian","22.7"
"2012","Not known","All","Asian","0.0"
"2012","Female","All","Black","16.4"
"2012","Male","All","Black","23.9"
"2012","Not known","All","Black","2.0"
"2012","Female","All","Mixed","13.7"
"2012","Male","All","Mixed","20.3"
"2012","Not known","All","Mixed","1.0"
"2012","Female","All","Other inc Chinese","11.8"
"2012","Male","All","Other inc Chinese","17.7"
"2012","Not known","All","Other inc Chinese","3.1"
"2012","Female","All","White","10.2"
"2012","Male","All","White","16.4"
"2012","Not known","All","White","2.4"
"2013","Female","All","Asian","14.0"
"2013","Male","All","Asian","23.1"
"2013","Not known","All","Asian","2.5"
"2013","Female","All","Black","14.1"
"2013","Male","All","Black","25.0"
"2013","Not known","All","Black","4.6"
"2013","Female","All","Mixed","10.4"
"2013","Male","All","Mixed","20.2"
"2013","Not known","All","Mixed","2.8"
"2013","Female","All","Other inc Chinese","9.5"
"2013","Male","All","Other inc Chinese","19.4"
"2013","Not known","All","Other inc Chinese","1.9"
"2013","Female","All","White","9.5"
"2013","Male","All","White","17.6"
"2013","Not known","All","White","2.3"
"2014","Female","All","Asian","18.5"
"2014","Male","All","Asian","25.1"
"2014","Not known","All","Asian","1.1"
"2014","Female","All","Black","14.3"
"2014","Male","All","Black","25.4"
"2014","Not known","All","Black","2.9"
"2014","Female","All","Mixed","8.9"
"2014","Male","All","Mixed","20.8"
"2014","Not known","All","Mixed","0.6"
"2014","Female","All","Other inc Chinese","17.2"
"2014","Male","All","Other inc Chinese","19.4"
"2014","Not known","All","Other inc Chinese","3.4"
"2014","Female","All","White","9.7"
"2014","Male","All","White","17.7"
"2014","Not known","All","White","1.9"
"2015","Female","All","Asian","19.2"
"2015","Male","All","Asian","25.1"
"2015","Not known","All","Asian","2.4"
"2015","Female","All","Black","15.0"
"2015","Male","All","Black","25.8"
"2015","Not known","All","Black","3.8"
"2015","Female","All","Mixed","12.3"
"2015","Male","All","Mixed","20.8"
"2015","Not known","All","Mixed","2.4"
"2015","Female","All","Other inc Chinese","14.4"
"2015","Male","All","Other inc Chinese","22.0"
"2015","Not known","All","Other inc Chinese","2.7"
"2015","Female","All","White","9.7"
"2015","Male","All","White","18.5"
"2015","Not known","All","White","2.0"
"2016","Female","All","Asian","14.4"
"2016","Male","All","Asian","25.2"
"2016","Not known","All","Asian","1.9"
"2016","Female","All","Black","13.8"
"2016","Male","All","Black","24.7"
"2016","Not known","All","Black","3.5"
"2016","Female","All","Mixed","10.1"
"2016","Male","All","Mixed","21.6"
"2016","Not known","All","Mixed","2.4"
"2016","Female","All","Other inc Chinese","11.5"
"2016","Male","All","Other inc Chinese","24.0"
"2016","Not known","All","Other inc Chinese","0.0"
"2016","Female","All","White","9.7"
"2016","Male","All","White","18.8"
"2016","Not known","All","White","2.1"
"2017","Female","All","Asian","18.1"
"2017","Male","All","Asian","27.5"
"2017","Not known","All","Asian","2.0"
"2017","Female","All","Black","14.1"
"2017","Male","All","Black","26.2"
"2017","Not known","All","Black","3.1"
"2017","Female","All","Mixed","10.4"
"2017","Male","All","Mixed","23.3"
"2017","Not known","All","Mixed","1.4"
"2017","Female","All","Other inc Chinese","15.8"
"2017","Male","All","Other inc Chinese","21.5"
"2017","Not known","All","Other inc Chinese","0.0"
"2017","Female","All","White","10.6"
"2017","Male","All","White","19.2"
"2017","Not known","All","White","2.9"
