"Measure","Year","Ethnicity","Ethnicity_type","Sex","Age group","Offence group","Immediate Custody","all sentenced","Value","Value_type "
"Sentences and custody","2009","Asian","ONS 2001 5+1","All","All","All","3946","13615","29.0","%"
"Sentences and custody","2009","Black","ONS 2001 5+2","All","All","All","6800","23362","29.1","%"
"Sentences and custody","2009","Mixed","ONS 2001 5+3","All","All","All","1869","8055","23.2","%"
"Sentences and custody","2009","Not stated","ONS 2001 5+4","All","All","All","15211","48742","31.2","%"
"Sentences and custody","2009","Other inc Chinese","ONS 2001 5+5","All","All","All","1506","3769","40.0","%"
"Sentences and custody","2009","White","ONS 2001 5+6","All","All","All","50933","229047","22.2","%"
"Sentences and custody","2010","Asian","ONS 2001 5+7","All","All","All","4609","15658","29.4","%"
"Sentences and custody","2010","Black","ONS 2001 5+8","All","All","All","7436","26224","28.4","%"
"Sentences and custody","2010","Mixed","ONS 2001 5+9","All","All","All","2191","9516","23.0","%"
"Sentences and custody","2010","Not stated","ONS 2001 5+10","All","All","All","8196","35001","23.4","%"
"Sentences and custody","2010","Other inc Chinese","ONS 2001 5+11","All","All","All","1671","4290","39.0","%"
"Sentences and custody","2010","White","ONS 2001 5+12","All","All","All","58836","256731","22.9","%"
"Sentences and custody","2011","Asian","ONS 2001 5+13","All","All","All","4892","15713","31.1","%"
"Sentences and custody","2011","Black","ONS 2001 5+14","All","All","All","8034","26466","30.4","%"
"Sentences and custody","2011","Mixed","ONS 2001 5+15","All","All","All","2563","9649","26.6","%"
"Sentences and custody","2011","Not stated","ONS 2001 5+16","All","All","All","7468","33334","22.4","%"
"Sentences and custody","2011","Other inc Chinese","ONS 2001 5+17","All","All","All","1518","3968","38.3","%"
"Sentences and custody","2011","White","ONS 2001 5+18","All","All","All","63032","252664","24.9","%"
"Sentences and custody","2012","Asian","ONS 2001 5+19","All","All","All","4438","13846","32.1","%"
"Sentences and custody","2012","Black","ONS 2001 5+20","All","All","All","7184","22986","31.3","%"
"Sentences and custody","2012","Mixed","ONS 2001 5+21","All","All","All","2321","8416","27.6","%"
"Sentences and custody","2012","Not stated","ONS 2001 5+22","All","All","All","8474","33478","25.3","%"
"Sentences and custody","2012","Other inc Chinese","ONS 2001 5+23","All","All","All","1388","3496","39.7","%"
"Sentences and custody","2012","White","ONS 2001 5+24","All","All","All","57254","223867","25.6","%"
