,Year,White,Black (or Black British),Asian (or Asian British),Mixed,Chinese or Other,Not stated,Total
5,2006,1086449,104888,67542,40092,19348,105243,1423562
6,2007,1126577,108937,72521,39870,21046,58436,1427387
7,2008,1137578,111064,76298,39354,20885,32288,1417467
8,2009,1064049,110712,75800,39371,20184,32371,1342487
9,2010,1035418,112816,77469,39985,19492,25048,1310228
10,2011,934775,102054,70398,36820,17230,22524,1183801
11,2012,816749,88184,63337,32217,15363,21955,1037805
12,2013,775621,85929,62444,30793,14691,25135,994613
13,2014,709958,83108,59172,29208,13840,23835,919121
14,2015,628605,81669,57847,28242,14205,46303,856871
15,2016,534883,70730,50434,24553,11973,49834,742407
16,2017,485885,64670,45603,23137,10810,45356,675461
17,2018,452320,60116,42872,21832,11148,82838,671126
