,lats,longs,text,size,color
0,54.682120,-1.202273,Reason: Article for use in theft<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
1,54.533358,-1.184838,Reason: Controlled drugs<br>Ethnicity: Asian/Asian British - Any other Asian background<br>Age: 25-34<br>Gender: Male,8,41
2,54.617131,-1.089616,Reason: Article for use in theft<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
3,54.534773,-1.300378,Reason: Article for use in theft<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
4,54.508311,-1.578825,Reason: Article for use in theft<br>Ethnicity: Asian/Asian British - Any other Asian background<br>Age: 18-24<br>Gender: Male,12,41
5,53.368104,-2.700625,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
6,53.387276,-2.593075,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
7,53.761802,-2.488352,Reason: Articles for use in criminal damage<br>Ethnicity: Asian/Asian British - Indian<br>Age: 25-34<br>Gender: Male,8,41
8,53.822000,-3.049280,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Female,16,1
9,53.768697,-0.339101,Reason: Offensive weapons<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
10,54.082601,-0.190868,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
11,53.572996,-0.136771,Reason: Article for use in theft<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
12,53.576663,-0.646133,Reason: Article for use in theft<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
13,53.954617,-1.076126,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
14,52.916100,-1.463310,Reason: Controlled drugs<br>Ethnicity: Black/African/Caribbean/Black British - Caribbean<br>Age: 18-24<br>Gender: Male,12,31
15,52.633145,-1.129511,Reason: Stolen goods<br>Ethnicity: Other ethnic group - Not stated<br>Age: over 34<br>Gender: Female,4,11
16,52.947319,-1.142698,Reason: Controlled drugs<br>Ethnicity: Asian/Asian British - Any other Asian background<br>Age: 10-17<br>Gender: Male,16,41
17,52.217926,-2.732453,Reason: Anything to threaten or harm anyone<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
18,52.635822,-2.444121,Reason: Controlled drugs<br>Ethnicity: Other ethnic group - Not stated<br>Age: 18-24<br>Gender: Male,12,11
19,52.988005,-2.133414,Reason: None<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
20,51.401158,-2.330794,Reason: Stolen goods<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
21,51.465877,-2.571998,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
22,51.473656,-2.679447,Reason: Offensive weapons<br>Ethnicity: Other ethnic group - Not stated<br>Age: 10-17<br>Gender: Male,16,11
23,51.551716,-2.412046,Reason: Controlled drugs<br>Ethnicity: Other ethnic group - Not stated<br>Age: 10-17<br>Gender: Male,16,11
24,50.722584,-1.870367,Reason: Offensive weapons<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
25,50.729757,-1.947609,Reason: Stolen goods<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
26,51.564547,-1.754426,Reason: Controlled drugs<br>Ethnicity: Asian/Asian British - Any other Asian background<br>Age: 25-34<br>Gender: Male,8,41
27,52.582862,-0.257361,Reason: Controlled drugs<br>Ethnicity: Asian/Asian British - Any other Asian background<br>Age: over 34<br>Gender: Male,4,41
28,51.881304,-0.411257,Reason: Article for use in theft<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
29,51.537748,0.769368,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
30,51.479168,0.322355,Reason: Controlled drugs<br>Ethnicity: Asian/Asian British - Any other Asian background<br>Age: 10-17<br>Gender: Male,16,41
31,51.396500,0.500216,Reason: Controlled drugs<br>Ethnicity: Black/African/Caribbean/Black British - African<br>Age: 10-17<br>Gender: Male,16,31
32,51.411212,-1.300647,Reason: Controlled drugs<br>Ethnicity: Asian/Asian British - Pakistani<br>Age: 25-34<br>Gender: Male,8,41
33,51.459100,-0.971711,Reason: Controlled drugs<br>Ethnicity: Other ethnic group - Not stated<br>Age: 10-17<br>Gender: Male,16,11
34,51.507800,-0.541257,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
35,51.443213,-0.535549,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
36,51.411300,-0.842683,Reason: Controlled drugs<br>Ethnicity: Black/African/Caribbean/Black British - African<br>Age: 10-17<br>Gender: Male,16,31
37,52.034560,-0.773643,Reason: Controlled drugs<br>Ethnicity: Black/African/Caribbean/Black British - African<br>Age: 25-34<br>Gender: Male,8,31
38,50.842382,-0.097525,Reason: None<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
39,50.803069,-1.074644,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
40,50.902121,-1.402499,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Female,4,1
41,50.645404,-1.182746,Reason: Stolen goods<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
42,54.859572,-1.575627,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
43,53.246404,-2.122964,Reason: Article for use in theft<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
44,53.160109,-2.904540,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
45,52.902287,-2.908868,Reason: Stolen goods<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
46,50.134603,-5.466292,Reason: Offensive weapons<br>Ethnicity: Black/African/Caribbean/Black British - Any other Black/African/Caribbean background<br>Age: over 34<br>Gender: Male,4,31
47,50.967208,-1.622270,Reason: Stolen goods<br>Ethnicity: Other ethnic group - Not stated<br>Age: None<br>Gender: Other,12,11
48,52.129817,-0.471595,Reason: Controlled drugs<br>Ethnicity: Other ethnic group - Not stated<br>Age: 10-17<br>Gender: Male,16,11
49,51.964767,-0.420825,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
50,55.121857,-1.551339,Reason: Offensive weapons<br>Ethnicity: White - Any other White background<br>Age: over 34<br>Gender: Male,4,1
51,51.825907,-0.826462,Reason: Controlled drugs<br>Ethnicity: Other ethnic group - Not stated<br>Age: 25-34<br>Gender: Male,8,11
52,51.555191,-0.490052,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: None,12,1
53,51.627520,-0.749093,Reason: Controlled drugs<br>Ethnicity: Asian/Asian British - Pakistani<br>Age: 18-24<br>Gender: Male,12,41
54,52.214737,0.127572,Reason: Controlled drugs<br>Ethnicity: White - Gypsy or Irish Traveller<br>Age: 25-34<br>Gender: Male,8,1
55,52.248933,0.237458,Reason: Article for use in theft<br>Ethnicity: Other ethnic group - Not stated<br>Age: 10-17<br>Gender: Male,16,11
56,52.665430,0.167398,Reason: Controlled drugs<br>Ethnicity: White - Gypsy or Irish Traveller<br>Age: 18-24<br>Gender: Male,12,1
57,52.338304,-0.169861,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Female,4,1
58,52.239367,0.154265,Reason: Controlled drugs<br>Ethnicity: None<br>Age: None<br>Gender: None,12,21
59,54.643752,-3.547461,Reason: Stolen goods<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
60,54.136395,-3.207899,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: None,12,1
61,54.892511,-2.935495,Reason: Controlled drugs<br>Ethnicity: Other ethnic group - Not stated<br>Age: 18-24<br>Gender: Male,12,11
62,54.533531,-3.592729,Reason: Offensive weapons<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: None,12,1
63,54.661214,-2.746809,Reason: Article for use in theft<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: None<br>Gender: None,12,1
