"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Sex","Age group","Offence group","Police Force Area","Value","Value_type","Denominator (Prosecutions at Magistrates Court)","Numerator (Convictions and Magistrates Court and Crown Court)"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2009","Year","All","All","All","All","71.8","%","19171","13759"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2009","Year","All","All","All","All","72.7","%","32453","23581"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2009","Year","All","All","All","All","71.1","%","11592","8237"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2009","Year","All","All","All","All","74","%","5134","3799"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2009","Year","All","All","All","All","78.7","%","294080","231485"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2010","Year","All","All","All","All","76.4","%","20557","15714"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2010","Year","All","All","All","All","76","%","34725","26403"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2010","Year","All","All","All","All","75.3","%","12817","9645"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2010","Year","All","All","All","All","81.9","%","5235","4288"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2010","Year","All","All","All","All","81.3","%","317998","258471"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2011","Year","All","All","All","All","78.1","%","20164","15750"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2011","Year","All","All","All","All","78.6","%","33826","26571"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2011","Year","All","All","All","All","77.4","%","12581","9742"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2011","Year","All","All","All","All","81.1","%","4896","3969"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2011","Year","All","All","All","All","82.8","%","305672","253220"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","All","All","All","78.3","%","17745","13895"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","All","79.1","%","29153","23050"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","All","78.4","%","10839","8497"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","All","82.8","%","4193","3470"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","All","84","%","268301","225426"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","All","All","73.4","%","18005","13215"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2013","Year","All","All","All","All","76.1","%","28728","21858"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2013","Year","All","All","All","All","75.7","%","10542","7979"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2013","Year","All","All","All","All","82","%","4156","3407"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2013","Year","All","All","All","All","81.5","%","260857","212567"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2014","Year","All","All","All","All","74.3","%","16736","12437"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2014","Year","All","All","All","All","76.7","%","27045","20755"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2014","Year","All","All","All","All","75.8","%","9630","7299"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2014","Year","All","All","All","All","79.8","%","3627","2895"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2014","Year","All","All","All","All","81.6","%","247209","201618"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2015","Year","All","All","All","All","77.6","%","15418","11967"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2015","Year","All","All","All","All","79.6","%","24993","19893"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2015","Year","All","All","All","All","77.4","%","9196","7121"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2015","Year","All","All","All","All","84.4","%","3395","2867"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2015","Year","All","All","All","All","84.3","%","217166","183068"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2016","Year","All","All","All","All","80.5","%","14712","11842"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2016","Year","All","All","All","All","80.6","%","24997","20145"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2016","Year","All","All","All","All","81.2","%","7613","6182"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2016","Year","All","All","All","All","81.3","%","3076","2501"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2016","Year","All","All","All","All","86","%","185340","159398"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2017","Year","All","All","All","All","80.3","%","13244","10635"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2017","Year","All","All","All","All","78.7","%","23374","18384"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2017","Year","All","All","All","All","79","%","6831","5398"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2017","Year","All","All","All","All","81.1","%","2751","2230"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2017","Year","All","All","All","All","85.3","%","165037","140701"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2009","Year","Female","All","All","All","71.6","%","1174","840"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2009","Year","Male","All","All","All","71.8","%","17964","12905"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2009","Year","Female","All","All","All","76","%","3888","2953"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2009","Year","Male","All","All","All","72.3","%","28463","20577"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2009","Year","Female","All","All","All","70.3","%","1738","1221"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2009","Year","Male","All","All","All","71.2","%","9832","7001"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2009","Year","Female","All","All","All","77.4","%","729","564"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2009","Year","Male","All","All","All","73.5","%","4387","3225"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2009","Year","Female","All","All","All","79.6","%","43722","34801"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2009","Year","Male","All","All","All","78.6","%","249942","196446"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2010","Year","Female","All","All","All","72.6","%","1301","945"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2010","Year","Male","All","All","All","76.8","%","19221","14755"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2010","Year","Female","All","All","All","74.4","%","4201","3127"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2010","Year","Male","All","All","All","76.3","%","30438","23236"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2010","Year","Female","All","All","All","75","%","1856","1392"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2010","Year","Male","All","All","All","75.3","%","10942","8242"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2010","Year","Female","All","All","All","77.9","%","773","602"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2010","Year","Male","All","All","All","82.7","%","4453","3682"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2010","Year","Female","All","All","All","80.5","%","46948","37805"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2010","Year","Male","All","All","All","81.4","%","270756","220505"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2011","Year","Female","All","All","All","71.5","%","1268","906"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2011","Year","Male","All","All","All","78.6","%","18861","14825"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2011","Year","Female","All","All","All","80.4","%","3470","2790"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2011","Year","Male","All","All","All","78.4","%","30294","23745"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2011","Year","Female","All","All","All","75.7","%","1795","1359"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2011","Year","Male","All","All","All","77.8","%","10771","8376"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2011","Year","Female","All","All","All","82.2","%","636","523"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2011","Year","Male","All","All","All","81","%","4247","3438"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2011","Year","Female","All","All","All","82","%","44076","36133"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2011","Year","Male","All","All","All","83","%","261272","216877"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","Female","All","All","All","74.7","%","1016","759"
